,CustomerID,Age,Gender,Annual_Income_000s,Avg_Monthly_Spend,Purchase_Frequency_per_Month,Avg_Basket_Value,Online_Purchase_Pct,Discount_Sensitivity,Brand_Loyalty_Score,added_Cluster
0,1,47,F,44.9,11584,12.9,1008,33.1,9,6.4,1
1,2,52,F,37.7,2136,0.2,1431,13.6,3.6,1.1,2
2,3,31,M,36.2,8536,8.5,865,64.2,8,3.5,2
3,4,39,M,37.1,3582,1.2,985,41.2,4.8,3.2,2
4,5,45,F,37.4,10627,7.9,1268,46.2,9.3,5.1,2
5,6,29,F,68.5,14135,6.3,1996,56,3.2,7.6,1
6,7,64,F,58.9,18045,4,1801,50.5,3.7,7.3,1
7,8,22,F,77.2,14515,5.1,2058,60.5,1.2,10,1
8,9,38,F,74.8,16821,1.4,5611,90.9,1.1,7,1
9,10,33,F,102,17270,2.9,4366,77.1,3.1,9,1
10,11,38,F,99.8,19877,3.7,6445,79,3.3,7.1,1
11,12,55,M,69.8,14284,5.9,2539,55.1,2.7,9.9,1
12,13,47,F,51.1,628,1.8,1202,28,5.3,1.7,2
13,14,32,F,44.4,10621,8.8,852,61.5,7.9,4.6,2
14,15,64,F,28.2,9762,6.4,797,64,8.1,6.1,2
15,16,58,F,105.1,15466,1.8,6126,84,2.6,9.6,1
16,17,27,F,54.1,2554,0.8,1745,37.9,3.8,4.5,2
17,18,31,M,70.4,18982,3.6,5480,69.2,3.2,5.8,1
18,19,32,M,17.2,9207,5.7,1245,46.8,8,5.1,2
19,20,41,M,60.3,10841,7.1,1390,47.6,5.3,10,2
20,21,34,M,63.2,1497,1.1,1202,24.6,4.2,4,2
21,22,61,F,89.2,22011,2.4,6350,97.6,2.9,7.9,1
22,23,56,F,76.4,12718,5.3,2224,42.5,2.3,7.4,1
23,24,59,F,48,2243,1.9,2360,18.1,5.3,2.8,2
24,25,21,M,93.1,19148,2.4,5435,89.6,1,7.1,1
25,26,43,M,39.3,7445,8.8,935,42.8,6.9,5.5,2
26,27,29,F,62.9,13905,4.7,2318,49.1,3.6,9.2,1
27,28,26,F,33.2,2115,0.8,1397,24.5,2,2.8,2
28,29,35,M,45.8,1353,1,1621,29.4,7.5,3.2,2
29,30,46,M,52.6,2750,1.6,1587,24.6,1.5,2.9,2
30,31,42,F,40.3,11315,8.3,994,44.7,8.2,2.5,1
31,32,46,F,71.3,2315,0.8,2209,26.4,6.9,3.9,2
32,33,36,F,32.7,710,0.7,1576,12.4,4.1,3.6,2
33,34,35,M,62.8,4291,2.1,1951,26.7,5.3,3.6,2
34,35,58,F,31.9,9129,8.1,887,58.3,8.9,4.7,2
35,36,36,M,38.5,10447,7.7,727,61.9,6.3,3.9,2
36,37,54,M,40.5,1918,1.4,2578,33.7,4.6,1,2
37,38,28,F,77.4,17631,3.7,5652,73.8,2,8.4,1
38,39,28,F,46.4,3933,0.9,1989,6.5,5.8,3.8,2
39,40,48,M,69,14645,6.7,1987,47.7,4.2,8.1,1
40,41,44,M,100.2,14959,2.9,5674,68.1,1.7,8.7,1
41,42,58,F,49.6,3379,1.1,1561,20.2,4.4,2,2
42,43,38,F,74.8,13833,6,1738,36.3,4.7,7.6,1
43,44,21,M,39.4,7316,9.7,558,67.9,9.7,5.3,2
44,45,63,M,25.6,1662,0.7,1612,18.1,6.1,1.1,2
45,46,61,M,84.1,22552,3.7,5508,84.6,1.6,6.8,1
46,47,24,M,26.2,5434,12.3,666,35.8,7.7,5.7,2
47,48,43,M,41.7,2361,0.8,1473,18.5,3.8,4.4,2
48,49,22,M,52,3460,1.9,1979,33,5,1.5,2
49,50,25,M,91.2,20978,1.5,4702,68.7,2.9,6.9,1
50,51,43,F,108.5,15344,0.9,5179,73,2.4,8.5,1
51,52,28,F,45.3,17291,6.1,2160,56.1,3.5,9.6,1
52,53,64,F,65.2,6683,3,1883,51.4,1.8,8.4,2
53,54,32,M,43.3,2119,1,1768,29.6,4,3.1,2
54,55,50,M,64.6,13091,7,3186,52.5,2.3,9.8,1
55,56,28,M,101.4,18854,4.1,5328,76.6,3.5,8.2,1
56,57,59,F,74.3,18082,2.1,5508,81,2.8,7.9,1
57,58,24,F,105.5,18791,1.2,6290,80.7,1,8.2,1
58,59,53,M,31.4,1919,1,3010,24.9,1.9,2.2,2
59,60,46,F,71.2,13515,5.9,2557,30.2,3.5,10,1
60,61,57,F,91,20321,2.7,4735,84.7,2.9,7.3,1
61,62,55,F,56.8,12464,5.8,2733,44.2,3.5,8.6,1
62,63,29,M,49.4,9298,11.3,968,64,8.2,4.5,2
63,64,34,M,61.6,2562,0.9,2309,14.4,4.1,3.3,2
64,65,25,M,25.7,2290,2.1,1421,10,2.9,2.3,2
65,66,21,M,61.9,13309,7,2608,45.6,4.7,9.3,1
66,67,29,M,112.9,20319,3.4,5884,95.9,1.7,8.3,1
67,68,51,M,37.6,1979,1.4,898,28.2,2.5,2.2,2
68,69,22,F,28.4,2705,1.4,937,16.3,4.8,1.8,2
69,70,35,M,101.5,18822,1.4,5110,87.1,2.9,6.1,1
70,71,22,F,42,1920,1.9,2194,14,3.2,3.4,2
71,72,41,M,91,18659,2.7,6044,79,2.2,10,1
72,73,64,F,20.8,9633,9.7,517,43.1,10,6.3,2
73,74,47,M,60.6,13240,7.6,2148,47.5,2,7.5,1
74,75,52,F,65.8,12828,7.5,2453,41.5,4.1,9,1
75,76,63,M,52.2,4457,0.9,1458,34.9,5.1,3.4,2
76,77,22,F,66.6,15753,4.8,2498,35.6,3.7,7.8,1
77,78,52,F,67.6,18570,6.9,1721,29.3,5.3,8.9,1
78,79,49,F,43.3,2789,1.4,1933,24.2,2.7,4.1,2
79,80,64,M,100,21704,1.8,5718,70.4,2.4,6.8,1
80,81,49,F,40.2,2254,2,2139,15.6,4.6,1.8,2
81,82,40,F,35.6,10495,9.9,972,45,8.2,5.9,2
82,83,49,F,26.1,2982,1,1398,18.9,4.1,4,2
83,84,41,F,98.4,19303,0.6,5695,89.5,2.2,8.2,1
84,85,35,F,33.6,8473,7.3,721,53,7.4,4.3,2
85,86,44,F,102.4,14563,2.9,5953,80.5,1.1,5.4,1
86,87,41,F,28.7,8551,8.5,706,48.6,9.9,5.2,2
87,88,36,M,55.5,13977,5.1,1529,39,5.6,7.1,1
88,89,40,F,74.8,15054,2.7,6677,77.1,3.8,7.3,1
89,90,58,F,60.9,15750,7.3,2529,73.9,4.7,8.3,1
90,91,37,F,33.5,8405,6.2,997,84.5,7.7,6.3,2
91,92,40,F,99.3,18921,1.5,4908,75.1,3.5,7.3,1
92,93,35,M,33.3,7071,10.2,803,73.1,7.7,6.5,2
93,94,46,F,46.2,7730,10,1207,56.5,9.2,5.1,2
94,95,32,M,42.2,1857,1.8,1900,26,3.5,2.8,2
95,96,48,F,48.8,1957,1.2,2091,40.2,6.3,2.3,2
96,97,25,F,43.3,7883,9.3,932,51.5,7.6,6.4,2
97,98,25,M,72.7,12530,6,2128,42.4,4.3,8.3,1
98,99,37,F,57.8,1303,1.6,1700,42.8,6.9,1.4,2
99,100,37,M,71.2,12878,3.4,2177,45.5,2.8,8.8,1
100,101,58,M,64.1,11877,5.7,1696,41.5,2.4,8,1
101,102,24,M,23.4,9586,7.5,702,48.6,9.3,6.3,2
102,103,23,M,66.1,14149,5.5,1809,57.6,3.4,7.8,1
103,104,27,M,49.2,13286,5.7,2325,62.9,2.6,9.9,1
104,105,38,M,37.4,2324,1.2,2373,23.1,3.1,4.9,2
105,106,38,M,69.6,12028,5.9,1838,50,2.8,8.5,1
106,107,34,M,44.2,8261,10.7,886,35.6,7.1,7,2
107,108,42,F,29.5,9066,9.2,1332,77.1,8.5,5.6,2
108,109,58,F,107.8,20105,3.2,4018,70.4,2.9,8.4,1
109,110,58,F,48,2297,1.5,1898,25.7,3,3.9,2
110,111,35,M,50.6,1406,1.5,2218,27.7,4.8,1.4,2
111,112,30,F,35.7,9055,9,614,44.6,7.7,5.4,2
112,113,26,M,28.5,8218,7.3,918,39.9,7.3,4.6,2
113,114,56,M,65.3,12526,7.1,2097,49.7,3.5,8.3,1
114,115,53,F,47.4,1345,2,2155,23,4.8,2.1,2
115,116,47,M,43.2,8096,8.4,1116,65.7,9.1,6.1,2
116,117,63,M,57,11478,5.6,1756,54.6,5.8,9.9,1
117,118,43,F,87.7,21322,2.5,6506,73.7,3.9,7.9,1
118,119,35,M,105.1,14468,2.2,5265,72.8,3.3,5.5,1
119,120,25,M,40.1,1127,0.8,1736,47.4,5,4.4,2
120,121,34,F,69,8800,7.4,1620,53.7,5.7,9.4,2
121,122,37,F,38,11875,11.8,943,49.4,8.1,6.6,1
122,123,32,M,69.2,15234,4.6,2200,68.7,1,8.6,1
123,124,54,M,49.6,2256,1.6,1231,14.6,7.6,3.7,2
124,125,27,M,35.9,10603,12.8,1108,60.9,7.5,9,2
125,126,64,M,103.1,23233,1,4452,81.1,1.5,8.2,1
126,127,29,M,87.3,20034,2.7,5765,78,2.8,7,1
127,128,49,F,38.1,8948,9.4,838,47.1,7.7,4.9,2
128,129,26,M,96.7,18820,4.4,4875,70,1.4,7.7,1
129,130,60,M,77.4,14670,6.3,1989,64.2,4.6,8.7,1
130,131,32,F,48,3071,1.4,1380,6.9,4.4,2.8,2
131,132,56,M,50.8,2421,0.8,1783,32.2,5.3,3.3,2
132,133,47,F,94.4,15399,3.3,5658,83.6,1,6.7,1
133,134,50,F,80.8,13997,3.5,4973,81.6,2.6,7.7,1
134,135,63,F,55.3,15795,6.5,1187,34.2,3.4,7.4,1
135,136,59,M,67.4,16804,6.3,1868,60.4,5,7.4,1
136,137,30,F,83,20928,2,5679,79,2.9,9.3,1
137,138,40,M,34.4,9486,7.7,941,69.4,9.1,3.7,2
138,139,57,M,64.4,9806,4.5,2550,41.4,5.5,8.8,2
139,140,59,M,80.7,16573,4.2,5741,78.3,1.7,5.8,1
140,141,61,F,29.1,6909,9.3,885,60.1,7.6,6.2,2
141,142,43,F,43.4,7929,10.3,1195,32,7.4,2.3,2
142,143,31,M,36.7,2789,1.3,1701,38,4.9,3.9,2
143,144,43,M,100.5,15368,2.6,6295,81.7,1.8,7.2,1
144,145,54,M,49.2,2852,1.5,1925,16,5.4,1.8,2
145,146,32,F,38.3,8502,9.8,1065,48.2,7.2,4.8,2
146,147,44,F,44,3684,0.9,2094,22,3.9,3.2,2
147,148,31,F,43.2,1664,0.5,1614,20.8,4.1,3.2,2
148,149,38,F,51.6,9916,10.1,545,28.2,10,4.1,2
149,150,43,F,52.7,13963,6.2,2550,42.2,2.1,9.2,1
150,151,47,F,73.6,14392,7.4,2372,60.2,2.6,8.3,1
151,152,34,F,48.2,2204,2,1501,28.2,3.4,2.2,2
152,153,49,F,26.5,3309,1.4,1868,18.9,2.3,2.8,2
153,154,47,M,45.4,2719,1.4,2012,17.3,5.5,2.9,2
154,155,59,M,62.7,15765,5,2399,61.6,3.7,8.1,1
155,156,47,M,57.3,4259,1,1795,26,5.4,2.6,2
156,157,42,F,50.7,12116,7.1,1795,60.3,3.2,10,1
157,158,45,F,67.3,13534,4.9,1990,35.3,5.7,6.2,1
158,159,39,M,54.5,13563,6.6,1696,42.4,4.5,9.9,1
159,160,37,F,31.7,6772,8.4,518,46.9,7.6,5.8,2
160,161,24,F,34.4,3050,2.2,1785,25.7,2.5,2.1,2
161,162,56,F,22.6,7786,6.5,1193,45.6,7.6,2.5,2
